transaction_id,user_id,género,linea_tc,interes_tc,monto,fecha,hora,dispositivo,establecimiento,ciudad,status_txn,is_prime,dcto,cashback,fraude
1,573,M,87000,56,581.03,02/01/20,0,0,Farmacia,Ciudad de México,Aceptada,False,0.0,17.43,False
2,737,F,34000,51,421.73,02/01/20,0,0,Tienda departamental,Cancún,Aceptada,False,0.0,12.65,False
3,887,F,52000,38,399.55,02/01/20,0,0,Farmacia,Tijuana,En proceso,False,0.0,11.99,False
4,1304,M,67000,60,828.01,02/01/20,0,0,Tienda departamental,Ciudad de México,En proceso,False,0.0,24.84,False
5,1361,F,28000,52,886.04,02/01/20,0,0,Supermercado,Cancún,Aceptada,False,0.0,26.58,False
6,1894,M,72000,53,736.88,02/01/20,0,0,Farmacia,Ciudad de México,En proceso,False,0.0,22.11,False
7,2151,M,65000,41,160.55,02/01/20,0,0,,Cancún,Aceptada,False,0.0,4.82,False
8,2258,F,90000,49,581.75,02/01/20,0,0,Abarrotes,Monterrey,Aceptada,False,0.0,17.45,False
9,2339,N,35000,32,832.04,02/01/20,0,0,,Monterrey,Aceptada,True,0.0,24.96,False
10,2350,F,73000,35,654.07,02/01/20,0,0,Compra en línea,Toluca,Aceptada,False,0.0,19.62,False
11,2845,F,31000,58,797.45,02/01/20,0,0,Abarrotes,Ciudad de México,Aceptada,False,0.0,23.92,False
12,2886,F,57000,36,1070.24,02/01/20,0,0,Supermercado,Ciudad de México,Rechazada,False,0.0,32.11,False
13,2889,F,61000,46,409.42,02/01/20,0,0,Compra en línea,Monterrey,Aceptada,False,0.0,12.28,False
14,2959,F,79000,62,112.59,02/01/20,0,0,Compra en línea,Guadalajara,Aceptada,False,0.0,3.38,False
15,3120,F,42000,59,1.0,02/01/20,0,0,Farmacia,Toluca,Aceptada,False,0.0,0.03,False
16,3829,M,63000,56,247.05,02/01/20,0,0,Farmacia,Monterrey,En proceso,False,0.0,7.41,False
17,15,M,87000,43,650.52,02/01/20,1,0,Compra en línea,Tijuana,Aceptada,False,0.0,32.53,False
18,1081,N,89000,54,356.7,02/01/20,1,0,Compra en línea,Guadalajara,Aceptada,False,0.0,17.84,False
19,1310,F,64000,36,699.88,02/01/20,1,0,,Monterrey,Aceptada,True,0.0,21.0,False
20,1373,M,69000,41,543.17,02/01/20,1,0,Compra en línea,Ciudad de México,Aceptada,False,0.0,16.3,False
21,1804,N,91000,50,315.88,02/01/20,1,0,Abarrotes,Monterrey,Aceptada,False,0.0,9.48,False
22,1855,M,95000,60,510.07,02/01/20,1,0,,Monterrey,Aceptada,False,0.0,15.3,False
23,2509,F,96000,42,719.74,02/01/20,1,0,Farmacia,Cancún,Aceptada,False,0.0,21.59,False
24,2905,F,62000,64,430.13,02/01/20,1,0,Abarrotes,Nezahualcóyotl,Aceptada,False,0.0,12.9,False
25,3255,M,66000,41,891.09,02/01/20,1,0,Abarrotes,Nezahualcóyotl,En proceso,False,0.0,26.73,False
26,3461,M,86000,33,191.71,02/01/20,1,0,Abarrotes,Nezahualcóyotl,Aceptada,False,9.59,5.75,False
27,3993,N,98000,63,874.34,02/01/20,1,0,Compra en línea,Tijuana,En proceso,False,43.72,26.23,False
28,331,F,89000,40,1.0,02/01/20,2,0,Farmacia,Tijuana,En proceso,False,0.0,0.03,False
29,387,M,32000,40,752.49,02/01/20,2,0,Tienda departamental,Monterrey,Aceptada,False,0.0,22.57,True
30,848,M,29000,52,24.92,02/01/20,2,0,Tienda departamental,Monterrey,Aceptada,False,0.0,0.75,False
31,1071,N,76000,47,385.14,02/01/20,2,0,,Tijuana,En proceso,False,0.0,11.55,False
32,1346,M,62000,46,544.91,02/01/20,2,0,Tienda departamental,Tijuana,En proceso,True,0.0,16.35,False
33,1446,M,36000,61,1.0,02/01/20,2,0,Compra en línea,Nezahualcóyotl,En proceso,False,0.0,0.03,False
34,1664,N,31000,33,718.51,02/01/20,2,0,Supermercado,Nezahualcóyotl,Aceptada,False,0.0,21.56,False
35,1811,M,70000,63,501.65,02/01/20,2,0,,Monterrey,Rechazada,False,0.0,15.05,False
36,2338,M,78000,41,1.0,02/01/20,2,0,Tienda departamental,Monterrey,Aceptada,False,0.05,0.03,False
37,2352,M,47000,45,537.45,02/01/20,2,0,Abarrotes,Guadalajara,Aceptada,False,0.0,16.12,False
38,2423,F,53000,58,903.09,02/01/20,2,0,Farmacia,Nezahualcóyotl,Aceptada,False,45.15,27.09,False
39,2647,M,88000,61,425.8,02/01/20,2,0,Compra en línea,Guadalajara,En proceso,True,0.0,12.77,False
40,2684,F,72000,32,296.46,02/01/20,2,0,Compra en línea,Guadalajara,Aceptada,True,0.0,8.89,False
41,2736,M,98000,53,649.46,02/01/20,2,0,Compra en línea,Monterrey,Aceptada,False,0.0,19.48,False
42,2962,M,54000,35,550.31,02/01/20,2,0,Abarrotes,Ciudad de México,Aceptada,False,0.0,16.51,False
43,3402,F,29000,43,538.77,02/01/20,2,0,Compra en línea,Tijuana,Aceptada,False,0.0,16.16,False
44,3863,M,74000,62,1120.22,02/01/20,2,0,Tienda departamental,Guadalajara,Rechazada,True,0.0,33.61,False
45,54,F,35000,40,375.25,02/01/20,3,0,Supermercado,Tijuana,En proceso,False,0.0,11.26,False
46,215,M,50000,36,982.93,02/01/20,3,0,Compra en línea,Ciudad de México,Aceptada,False,0.0,29.49,False
47,457,M,97000,42,537.38,02/01/20,3,0,Tienda departamental,Monterrey,En proceso,False,0.0,26.87,False
48,595,F,29000,60,1.0,02/01/20,3,0,Compra en línea,Ciudad de México,Aceptada,False,0.0,0.03,False
49,669,F,55000,41,327.19,02/01/20,3,0,Compra en línea,Nezahualcóyotl,Rechazada,False,0.0,9.82,False
50,2023,M,33000,40,556.97,02/01/20,3,0,,Nezahualcóyotl,En proceso,False,0.0,27.85,False
51,2073,M,60000,62,261.82,02/01/20,3,0,Supermercado,Monterrey,Aceptada,False,0.0,18.33,False
52,2155,F,68000,47,623.85,02/01/20,3,0,Supermercado,Monterrey,Aceptada,False,0.0,18.72,False
53,2331,F,98000,61,659.46,02/01/20,3,0,,Monterrey,Aceptada,True,0.0,32.97,False
54,3626,F,75000,34,359.62,02/01/20,3,0,,Monterrey,Aceptada,False,0.0,10.79,False
55,3663,M,93000,61,316.48,02/01/20,3,0,,Monterrey,Rechazada,False,0.0,9.49,False
56,3805,M,51000,54,926.75,02/01/20,3,0,Tienda departamental,Guadalajara,Aceptada,False,0.0,46.34,False
57,3923,F,38000,40,597.01,02/01/20,3,0,Tienda departamental,Nezahualcóyotl,En proceso,False,0.0,17.91,False
58,285,M,95000,46,222.93,02/01/20,4,0,Compra en línea,Tijuana,Aceptada,False,0.0,6.69,False
59,309,F,74000,32,395.41,02/01/20,4,0,Compra en línea,Toluca,Aceptada,False,19.77,11.86,True
60,506,M,56000,32,1067.77,02/01/20,4,0,Supermercado,Toluca,Rechazada,False,0.0,32.03,False
61,733,N,71000,38,788.5,02/01/20,4,0,Compra en línea,Toluca,Aceptada,True,0.0,23.66,False
62,772,M,76000,38,448.23,02/01/20,4,0,Compra en línea,Nezahualcóyotl,En proceso,False,22.41,13.45,False
63,894,M,58000,38,1055.19,02/01/20,4,0,Supermercado,Nezahualcóyotl,Aceptada,False,0.0,31.66,False
64,1419,M,99000,42,1.0,02/01/20,4,0,Compra en línea,Toluca,Aceptada,False,0.0,0.03,False
65,1431,F,96000,39,252.77,02/01/20,4,0,Tienda departamental,Ciudad de México,Aceptada,False,0.0,7.58,False
